V1,A1,V2,A2,V3,A3,V4,A4,V5,A5,V6,A6,V7,A7,V8,A8,V9,A9,Cluster,State
1.0,0.0,0.9999999999999998,24.933915420350143,0.9999999999999997,19.641578404745733,0.9900946326705655,4.266952662777858,0.9911209716293856,7.4968581235685745,1.0139200782401145,16.825723375926053,1.0117476301895683,17.451404561901885,1.010437998111581,19.147373229757363,0.9842190494473162,7.863890655587712,3,Low Load
1.0,0.0,0.9999999999999997,-22.16185388661166,1.0,-26.39023774175384,0.8868456013839112,-15.722090019390581,0.8357859396270905,-28.405534042886302,0.9509926014753994,-29.39258419013881,0.9022741596009319,-34.371602463954964,0.9355747544445524,-28.413203109233702,0.7987083493969814,-31.221868044048062,4,Disconnect
1.0,0.0,1.0,-20.285278889001887,1.0,-24.53249035316137,0.8998823561520888,-15.185963078002045,0.8559711715603948,-27.18593051366679,0.9554930403727785,-27.520682674347444,0.9043436823165727,-32.23560250801271,0.9399657388601741,-26.507309756591862,0.8186435415773192,-29.87110511491382,4,Disconnect
1.0,0.0,0.9999999999999996,-19.58766337971988,0.9999999999999998,-24.107545170115802,0.8987219198548163,-14.987736564636043,0.847652172327592,-27.212192060987505,0.9554026523292556,-27.096020452677593,0.9080673667485534,-31.51226435940355,0.9416556885886461,-25.798483847861416,0.8200725880229862,-29.132334212179487,4,Disconnect
1.0,0.0,0.9999999999999998,18.089618856834058,1.0,19.19130658147895,0.9725091659354587,-2.830205883346636,0.9452726537703171,-7.9359152524711005,1.0057054849500549,16.352432910955837,0.9819742308090351,11.502823812250453,0.9894015237699576,12.179610670523203,0.9346810242379857,-2.096463325595052,1,High Load
1.0,0.0,1.0,24.601590013196667,0.9999999999999999,19.398924146571733,0.9918046063834267,4.173009872740227,0.9953802576956834,7.440688757915829,1.014418010648113,16.58445240803784,1.0107866866661366,17.110994537972463,1.0102907346604995,18.814201476198726,0.9855078568066469,7.552437736177666,3,Low Load
1.0,0.0,1.0,25.390026827515815,0.9999999999999998,20.13407828115141,0.9877356763005314,4.5183238100578045,0.9920145531228709,8.078464776497324,1.0127486366004335,17.314963536506397,1.0073320959690752,17.895682650540714,1.0075474923668473,19.586826978999255,0.9774557492058016,8.220755607773285,3,Low Load
1.0,0.0,1.0,24.326777090415973,1.0,19.140118255178113,0.9896142872994583,4.094145137038479,0.990876518301819,7.335069718099459,1.0139256741359848,16.32427877969766,1.0116992388261492,16.756191989525103,1.0100399343663815,18.53794659337795,0.9817268390601664,7.43753290409855,3,Low Load
1.0,0.0,1.0,24.480072264934492,0.9999999999999998,19.25330353028042,0.989366420035854,4.085186265273659,0.9903918138465002,7.3001944352313926,1.0128889320927916,16.434579577247998,1.0086705175366135,16.95298287933798,1.0087486850262428,18.683806406248973,0.9812532273251431,7.445417064840635,3,Low Load
1.0,0.0,0.9999999999999999,-18.69567431004046,0.9999999999999997,-22.968001295571497,0.8985556669997532,-14.40501962872599,0.8565458591875686,-25.734754199291512,0.9538359847633455,-25.961389590737245,0.8984169523037532,-30.64561543955604,0.9357146834051716,-24.94608496489578,0.8070415013368004,-28.485143819524566,4,Disconnect
1.0,0.0,0.9999999999999999,1.6301509377404564,0.9999999999999999,-9.415528243858878,0.9891958921367918,-5.43212157747889,0.9768211604320166,-10.034384584238092,0.999525200880094,-9.415528243858878,0.9827134326539255,-8.774163233115285,0.9953546978282191,-4.244384977139686,0.9610378688857432,-9.278827945529711,2,Shut Down
1.0,0.0,0.9999999999999999,18.409599146257804,0.9999999999999997,19.609602218633874,0.9717900887272845,-2.8471941581340565,0.9439815936862208,-8.061669928056066,1.0056738352669004,16.7706391323869,0.9818813005596078,11.921123452085926,0.9890437439179602,12.497445435837763,0.9334626797040496,-2.0356380908563545,1,High Load
1.0,0.0,0.9999999999999998,1.854672755734553,0.9999999999999998,-9.175232871269333,0.9893931028247502,-5.328353523645475,0.9773009862150017,-9.821990572046795,0.9996819717788357,-9.175232871269333,0.982923923093296,-8.520767359342132,0.9954833344741909,-4.019101379174393,0.9612377193277619,-9.115721722704238,2,Shut Down
1.0,0.0,1.0,18.670300720901533,0.9999999999999998,19.90623890946792,0.9718503026339294,-2.7461372321966335,0.9445287695648455,-7.86192744942558,1.0056803139785648,17.06729412713911,0.9818970792159226,12.21783574126229,0.9889851782375022,12.757795656819487,0.9333245581746186,-1.8649110223667633,1,High Load
1.0,0.0,1.0,19.43535893275755,0.9999999999999998,20.719126666979694,0.9721775967803141,-2.4004608576625004,0.9461350960984287,-7.255673210323708,1.0057188886940318,17.880290862608636,0.9819973063063763,13.031098224773043,0.9890199535167074,13.52306250139495,0.9336126380271454,-1.212368152373004,1,High Load
1.0,0.0,0.9999999999999999,19.30791657610887,0.9999999999999998,20.633433941814417,0.9709063949620195,-2.6667723990730585,0.9425157783373492,-7.988920836085679,1.0056560158596681,17.79442051023975,0.9818197935733523,12.945287602182614,0.9886711925961077,13.393527101261713,0.9322983769123937,-1.46374297529657,1,High Load
1.0,0.0,0.9999999999999998,1.5114674438330682,0.9999999999999999,-9.509423632291764,0.9893714275865175,-5.425875856988699,0.9771998236571005,-10.001506329513937,0.9994957401410758,-9.509423632291764,0.9825078831167386,-8.941962301096064,0.9952967719640391,-4.3634115698421185,0.9612988952563241,-9.287552249869066,2,Shut Down
1.0,0.0,0.9999999999999999,2.1824361021798278,0.9999999999999999,-8.95293358466598,0.9894813099914589,-5.234052458599102,0.9768457023029562,-9.800574088801788,0.9997269431733585,-8.95293358466598,0.9831706289241066,-8.181864659095346,0.9956792888286418,-3.690177980858918,0.961797569614515,-8.806329142904785,2,Shut Down
1.0,0.0,0.9999999999999999,-21.793538786728213,0.9999999999999999,-26.115351286251535,0.8865780038516164,-15.73456054478497,0.8351626672118526,-28.490593576814472,0.9490893642549391,-29.12372396287939,0.8957904116536936,-33.93960520075368,0.9330943233590019,-28.061572403159676,0.7984207800356806,-31.197004402443227,4,Disconnect
1.0,0.0,0.9999999999999999,2.545763559072072,0.9999999999999999,-8.479765629870137,0.9901432069709635,-4.978053190444626,0.9787100303754371,-9.190367674319306,1.0001021599545132,-8.479765629870135,0.983426649281675,-7.7967941623141845,0.9958881495098515,-3.32561457176557,0.9623844788931718,-8.485420377299794,2,Shut Down
